Goal #,naive_goal,naive_goal,naive_goal,naive_goal,naive_goal,naive_withCriticPredict,naive_withCriticPredict,naive_withCriticPredict,naive_withCriticPredict,naive_withCriticPredict,naive_withCriticCost,naive_withCriticCost,naive_withCriticCost,naive_withCriticCost,naive_withCriticCost,naive_withCriticThreshold,naive_withCriticThreshold,naive_withCriticThreshold,naive_withCriticThreshold,naive_withCriticThreshold,
,fail rate, reached goal, tracking RMSE, path length, planning rate, fail rate, reached goal, tracking RMSE, path length, planning rate, fail rate, reached goal, tracking RMSE, path length, planning rate
0,0.0,100.0,2.1,78.08,100.0,-,-,-,-,0,0.0,100.0,2.2,78.79,100.0,-,-,-,-,0,
1,100.0,0.0,1.05,28.38,100.0,-,-,-,-,0,100.0,0.0,1.11,30.12,100.0,-,-,-,-,0,
2,100.0,0.0,1.01,28.09,100.0,-,-,-,-,0,100.0,0.0,1.03,28.23,100.0,-,-,-,-,0,
3,-,-,-,-,0,-,-,-,-,0,100.0,0.0,1.03,31.67,50.0,-,-,-,-,0,
4,-,-,-,-,0,-,-,-,-,0,-,-,-,-,0,-,-,-,-,0,
