Goal #,robust,robust,robust,robust,naive,naive,naive,naive,mean,mean,mean,mean,
,fail rate, reached goal, tracking RMSE, path length, fail rate, reached goal, tracking RMSE, path length, fail rate, reached goal, tracking RMSE, path length
0,100.0,0.0,9.936893573692297,58.08614915784846,100.0,0.0,4.539005225340345,100.9007713531636,100.0,0.0,1.5198264734450155,54.47560429062037,
1,-,-,-,-,0.0,0.0,34.293923023454205,308.7666204378609,60.0,0.0,4.950597122060922,20.06125933685287,
2,100.0,0.0,2.9808413500963202,76.36272787220098,100.0,0.0,2.4233467043204007,61.74694067396486,100.0,0.0,1.9091249439877598,19.134763850026822,
