Goal #,robust,robust,robust,robust,robust,naive,naive,naive,naive,naive,mean,mean,mean,mean,mean,
,fail rate, reached goal, tracking RMSE, path length, planning rate, fail rate, reached goal, tracking RMSE, path length, planning rate, fail rate, reached goal, tracking RMSE, path length, planning rate
0,-,-,-,-,0,0.0,100.0,1.6144362676043809,33.08994852913709,50.0,-,-,-,-,0,
1,-,-,-,-,0,0.0,100.0,1.6611783404837994,40.90655150831774,50.0,-,-,-,-,0,
2,-,-,-,-,0,0.0,100.0,1.613264778250139,42.69464088625174,50.0,-,-,-,-,0,
3,-,-,-,-,0,0.0,100.0,0.9931370764951226,83.50401748364612,50.0,-,-,-,-,0,
4,-,-,-,-,0,0.0,88.88888888888889,1.730102694467481,72.00428981430657,50.0,-,-,-,-,0,
5,-,-,-,-,0,0.0,30.0,1.6679450590416478,65.20950180538196,50.0,-,-,-,-,0,
6,-,-,-,-,0,-,-,-,-,0,-,-,-,-,0,
7,-,-,-,-,0,0.0,100.0,1.7844114255003287,50.933886709599406,50.0,-,-,-,-,0,
8,-,-,-,-,0,0.0,75.0,1.5702662279221218,73.71901452210041,50.0,-,-,-,-,0,
9,-,-,-,-,0,0.0,0.0,2.1932278583644953,40.29039442818393,50.0,-,-,-,-,0,
