Goal #,robust,robust,robust,robust,robust,naive,naive,naive,naive,naive,mean,mean,mean,mean,mean,
,fail rate, reached goal, tracking RMSE, path length, planning rate, fail rate, reached goal, tracking RMSE, path length, planning rate, fail rate, reached goal, tracking RMSE, path length, planning rate
0,-,-,-,-,0,0.0,90.0,1.811097530020039,57.27609121238014,50.0,-,-,-,-,0,
1,0.0,90.0,2.70135841533113,38.76907908400041,50.0,0.0,90.0,1.7955154237099695,35.728645652568,50.0,-,-,-,-,0,
2,0.0,100.0,1.2182437288634826,42.11188102468138,50.0,0.0,50.0,1.6994647135033925,38.93654649706158,50.0,-,-,-,-,0,
3,0.0,100.0,1.370654345881663,84.96545945489547,50.0,0.0,100.0,1.200924746247898,86.22028092858436,50.0,-,-,-,-,0,
4,0.0,0.0,2.2919000980326687,60.99151160449978,50.0,0.0,0.0,2.5963089914185904,57.56880300679641,50.0,-,-,-,-,0,
5,0.0,0.0,3.3589052543831195,61.525070774230834,50.0,0.0,0.0,3.4188635972446764,58.5309177502355,50.0,-,-,-,-,0,
6,0.0,90.0,2.3340752496094046,41.001625668369954,50.0,0.0,90.0,2.1424425373951164,41.31285658127169,50.0,-,-,-,-,0,
7,-,-,-,-,0,0.0,100.0,1.6682094608820914,65.68935457518037,50.0,-,-,-,-,0,
8,0.0,40.0,2.3188985676773792,72.76351506279352,50.0,0.0,80.0,2.0366308283716803,73.89283783982576,50.0,-,-,-,-,0,
9,0.0,100.0,1.5729904541551023,63.646424132619664,50.0,0.0,100.0,1.548559154043084,66.31556300045855,50.0,-,-,-,-,0,
