Goal #,naive_goal,naive_goal,naive_goal,naive_goal,naive_goal,naive_withCriticPredict,naive_withCriticPredict,naive_withCriticPredict,naive_withCriticPredict,naive_withCriticPredict,naive_withCriticCost,naive_withCriticCost,naive_withCriticCost,naive_withCriticCost,naive_withCriticCost,naive_withCriticThreshold,naive_withCriticThreshold,naive_withCriticThreshold,naive_withCriticThreshold,naive_withCriticThreshold,
,fail rate, reached goal, tracking RMSE, path length, planning rate, fail rate, reached goal, tracking RMSE, path length, planning rate, fail rate, reached goal, tracking RMSE, path length, planning rate
0,0.0,0.0,1.61,126.94,200.0,-,-,-,-,0,0.0,0.0,4.3,157.81,150.0,-,-,-,-,0,
1,0.0,100.0,2.71,125.33,150.0,-,-,-,-,0,0.0,0.0,3.13,103.17,200.0,-,-,-,-,0,
2,0.0,100.0,0.9,44.17,150.0,-,-,-,-,0,0.0,100.0,0.89,48.65,200.0,-,-,-,-,0,
3,0.0,0.0,2.41,109.84,150.0,-,-,-,-,0,0.0,0.0,3.24,96.86,200.0,-,-,-,-,0,
4,0.0,100.0,0.97,32.07,200.0,-,-,-,-,0,0.0,100.0,1.08,29.53,200.0,-,-,-,-,0,
5,0.0,0.0,6.49,186.6,150.0,-,-,-,-,0,0.0,0.0,11.2,203.01,100.0,-,-,-,-,0,
