Goal #,robust,robust,robust,robust,robust,naive,naive,naive,naive,naive,mean,mean,mean,mean,mean,
,fail rate, reached goal, tracking RMSE, path length, planning rate, fail rate, reached goal, tracking RMSE, path length, planning rate, fail rate, reached goal, tracking RMSE, path length, planning rate
0,0.0,100.0,11.084661144986965,69.68437804265002,50.0,-,-,-,-,0,-,-,-,-,0,
1,0.0,0.0,2.740927964631864,46.65817810059586,50.0,-,-,-,-,0,-,-,-,-,0,
2,-,-,-,-,0,-,-,-,-,0,-,-,-,-,0,
