Goal #,robust,robust,robust,robust,naive,naive,naive,naive,mean,mean,mean,mean,
,fail rate, reached goal, tracking RMSE, path length, fail rate, reached goal, tracking RMSE, path length, fail rate, reached goal, tracking RMSE, path length
0,0.0,0.0,6.2459574707484995,204.2494255884542,100.0,0.0,3.4478789618619814,117.80407114843041,0.0,100.0,7.570087364078563,258.9009639680297,
1,0.0,100.0,3.7986231940600854,279.28637781757806,-,-,-,-,100.0,0.0,2.7534894476088962,66.1547859960333,
2,100.0,0.0,3.356111457843424,106.69079141822847,100.0,0.0,2.242945694396835,19.249196415838206,0.0,100.0,4.353152466573516,200.56648563421695,
