Goal #,robust,robust,robust,robust,naive,naive,naive,naive,mean,mean,mean,mean,
,fail rate, reached goal, tracking RMSE, path length, fail rate, reached goal, tracking RMSE, path length, fail rate, reached goal, tracking RMSE, path length
0,100.0,0.0,2.032672577302311,53.312329387463066,0.0,100.0,5.4838757360301935,119.3986196849404,100.0,0.0,6.108398233480057,71.745512476672,
1,0.0,0.0,3.34074530937827,9.724046429757912,100.0,0.0,3.4845008058338807,12.00726528150566,100.0,0.0,2.145147123987785,130.75409113624715,
2,100.0,0.0,1.5889980274501365,119.36393689293313,-,-,-,-,50.0,50.0,3.4425979596386846,173.63725493527758,
