Goal #,robust,robust,robust,robust,naive,naive,naive,naive,mean,mean,mean,mean,
,fail rate, reached goal, tracking RMSE, path length, fail rate, reached goal, tracking RMSE, path length, fail rate, reached goal, tracking RMSE, path length
0,0.0,100.0,4.267758693563427,99.45268741941763,-,-,-,-,0.0,100.0,1.714330286080045,29.807489778735487,
1,0.0,100.0,2.1735840665342896,42.238188314935016,-,-,-,-,0.0,100.0,1.3032550682375483,36.51207325841816,
2,0.0,100.0,1.4279811971282494,47.64065632719724,-,-,-,-,0.0,100.0,1.7560696794936757,49.41640563558488,
3,0.0,100.0,0.9507823499051156,90.21894704010546,-,-,-,-,0.0,100.0,2.0603689213376546,90.00976545831206,
4,0.0,100.0,2.8686940319000844,74.01588032338013,0.0,100.0,2.513090288311792,62.48574589623078,0.0,20.0,6.546775709500224,78.76814647190714,
5,0.0,100.0,4.128221836832028,88.99612711101099,0.0,100.0,3.2176481359311295,63.97664207846082,0.0,100.0,4.303792541523555,64.48214840734754,
6,0.0,100.0,3.305097036540438,50.86325496221677,-,-,-,-,-,-,-,-,
7,0.0,100.0,2.377319048444547,88.04739330456043,-,-,-,-,-,-,-,-,
8,0.0,100.0,5.809161556699614,94.63191570118873,0.0,100.0,2.1994585871504206,82.26376236264437,0.0,100.0,0.8996127690290018,79.2248213823502,
9,-,-,-,-,-,-,-,-,0.0,100.0,1.1366282489530513,65.8218434233728,
